Description,Revenue,Revenue_Percentage,Cumulative_Percentage,ABC_Category
VICTORIAN GLASS HANGING T-LIGHT,28776.51,0.003229170091296312,0.1484391560060263,A - High Value
HEART OF WICKER LARGE,28520.95,0.003200492301372111,0.15163964830739843,A - High Value
HEART OF WICKER SMALL,28228.64,0.003167690592291099,0.15480733889968953,A - High Value
LUNCH BAG RED RETROSPOT,28048.45,0.0031474704836416943,0.15795480938333123,A - High Value
SET OF 3 REGENCY CAKE TINS,26625.68,0.0029878136548325837,0.1609426230381638,A - High Value
JUMBO BAG APPLES,26451.260000000002,0.0029682410295446705,0.1639108640677085,A - High Value
ALARM CLOCK BAKELIKE RED ,25925.2,0.0029092089503166005,0.1668200730180251,A - High Value
PAPER CHAIN KIT VINTAGE CHRISTMAS,25669.27,0.0028804896406621127,0.16970056265868722,A - High Value
DOORMAT RED RETROSPOT,25397.85,0.002850032113109965,0.17255059477179718,A - High Value
GIN + TONIC DIET METAL SIGN,24988.98,0.0028041505668339115,0.1753547453386311,A - High Value
ROSES REGENCY TEACUP AND SAUCER ,24865.600000000002,0.0027903054200157556,0.17814505075864687,A - High Value
SPACEBOY LUNCH BOX ,24694.59,0.0027711154495393985,0.18091616620818626,A - High Value
HOT WATER BOTTLE KEEP CALM,24426.300000000003,0.002741009156462376,0.18365717536464865,A - High Value
NATURAL SLATE HEART CHALKBOARD ,24245.52,0.002720722840675487,0.18637789820532413,A - High Value
JUMBO BAG ALPHABET,24175.0,0.002712809404513902,0.18909070760983804,A - High Value
PLEASE ONE PERSON METAL SIGN,23930.920000000002,0.0026854198483834473,0.19177612745822148,A - High Value
RED  HARMONICA IN BOX ,23793.93,0.0026700474487836804,0.19444617490700516,A - High Value
DOORMAT UNION FLAG,23697.99,0.002659281494935943,0.1971054564019411,A - High Value
JUMBO  BAG BAROQUE BLACK WHITE,23675.04,0.0026567061495033225,0.19976216255144444,A - High Value
CHOCOLATE HOT WATER BOTTLE,23624.24,0.002651005602750507,0.20241316815419494,A - High Value
POPCORN HOLDER,23427.71,0.0026289518930392715,0.2050421200472342,A - High Value
REGENCY TEAPOT ROSES ,23073.32,0.00258918384650915,0.20763130389374337,A - High Value
BAKING SET 9 PIECE RETROSPOT ,23007.55,0.002581803433912051,0.2102131073276554,A - High Value
DOORMAT NEW ENGLAND,22968.25,0.0025773933652627275,0.21279050069291813,A - High Value
CREAM HEART CARD HOLDER,22715.57,0.0025490387559418347,0.21533953944885997,A - High Value
VINTAGE UNION JACK MEMOBOARD,22709.13,0.0025483160882038797,0.21788785553706386,A - High Value
RED HANGING HEART T-LIGHT HOLDER,22624.690000000002,0.0025388406124596335,0.22042669614952348,A - High Value
ROUND SNACK BOXES SET OF4 WOODLAND ,22175.52,0.002488436782046996,0.22291513293157048,A - High Value
SET OF TEA COFFEE SUGAR TINS PANTRY,22133.83,0.0024837585183831207,0.2253988914499536,A - High Value
JUMBO STORAGE BAG SUKI,21790.95,0.0024452820721113638,0.22784417352206496,A - High Value
DOORMAT FAIRY CAKE,21187.69,0.002377586957266811,0.23022176047933177,A - High Value
JAM MAKING SET PRINTED,21170.75,0.0023756860269126246,0.2325974465062444,A - High Value
JUMBO BAG VINTAGE LEAF,20963.93,0.002352477619837482,0.23494992412608187,A - High Value
VINTAGE UNION JACK BUNTING,20962.16,0.0023522789984250316,0.2373022031245069,A - High Value
ALARM CLOCK BAKELIKE GREEN,20880.4,0.0023431042601866426,0.23964530738469353,A - High Value
RECIPE BOX PANTRY YELLOW DESIGN,20859.27,0.0023407331469408356,0.24198604053163436,A - High Value
EDWARDIAN PARASOL NATURAL,20696.71,0.002322491397331827,0.24430853192896618,A - High Value
JUMBO BAG VINTAGE DOILY ,20674.68,0.0023200192901474863,0.24662855121911367,A - High Value
CREAM SWEETHEART MINI CHEST,20562.92,0.0023074780872912926,0.24893602930640496,A - High Value
SET OF 6 SPICE TINS PANTRY DESIGN,20530.0,0.0023037839534506893,0.25123981325985567,A - High Value
RETROSPOT TEA SET CERAMIC 11 PC ,20470.780000000002,0.002297138552295144,0.2535369518121508,A - High Value
COOK WITH WINE METAL SIGN ,20315.33,0.002279694654800555,0.25581664646695135,A - High Value
JUMBO SHOPPER VINTAGE RED PAISLEY,20174.23,0.002263861049548149,0.25808050751649947,A - High Value
DOLLY GIRL LUNCH BOX,20129.44,0.002258834917873767,0.26033934243437323,A - High Value
SCOTTIE DOG HOT WATER BOTTLE,20104.350000000002,0.0022560194312984103,0.2625953618656716,A - High Value
WOODEN PICTURE FRAME WHITE FINISH,20001.65,0.002244494900756794,0.2648398567664284,A - High Value
DOORMAT HEARTS,19948.81,0.002238565434409968,0.2670784222008384,A - High Value
RED TOADSTOOL LED NIGHT LIGHT,19844.91,0.002226906245283639,0.26930532844612204,A - High Value
LUNCH BOX I LOVE LONDON,19353.219999999998,0.0021717310123527006,0.2714770594584747,A - High Value
DOORMAT FANCY FONT HOME SWEET HOME,19157.02,0.002149714333752261,0.273626773792227,A - High Value
JUMBO BAG OWLS,19076.92,0.0021407258732227237,0.2757674996654497,A - High Value
PAPER BUNTING RETROSPOT,18791.890000000003,0.0021087410928889664,0.27787624075833867,A - High Value
ALARM CLOCK BAKELIKE PINK,18569.09,0.0020837394823274066,0.2799599802406661,A - High Value
JUMBO BAG PINK VINTAGE PAISLEY,18429.98,0.0020681291858946483,0.28202810942656076,A - High Value
LUNCH BAG APPLE DESIGN,18278.25,0.0020511027300126675,0.28407921215657345,A - High Value
LUNCH BAG  BLACK SKULL.,18024.55,0.0020226336608947697,0.2861018458174682,A - High Value
RED RETROSPOT CAKE STAND,17929.75,0.0020119956327025084,0.2881138414501707,A - High Value
GREEN REGENCY TEACUP AND SAUCER,17806.34,0.001998147119419734,0.2901119885695905,A - High Value
JUMBO BAG 50'S CHRISTMAS ,17679.72,0.0019839383944228552,0.2920959269640133,A - High Value
WOODEN FRAME ANTIQUE WHITE ,17625.07,0.0019778058180440886,0.2940737327820574,A - High Value
ROUND SNACK BOXES SET OF 4 FRUITS ,17604.99,0.001975552531059905,0.2960492853131173,A - High Value
ROTATING SILVER ANGELS T-LIGHT HLDR,17592.52,0.001974153203933771,0.2980234385170511,A - High Value
GUMBALL COAT RACK,17580.350000000002,0.0019727875414538155,0.2999962260585049,A - High Value
HOMEMADE JAM SCENTED CANDLES,17521.6,0.0019661948815772818,0.3019624209400822,A - High Value
FAIRY CAKE FLANNEL ASSORTED COLOUR,17304.57,0.0019418407543772135,0.3039042616944594,A - High Value
LUNCH BAG CARS BLUE,17265.68,0.0019374766940776667,0.30584173838853707,A - High Value
GROW A FLYTRAP OR SUNFLOWER IN TIN,17226.2,0.0019330464266406363,0.3077747848151777,A - High Value
JUMBO BAG DOILEY PATTERNS,16741.260000000002,0.0018786286482487039,0.30965341346342645,A - High Value
COLOUR GLASS. STAR T-LIGHT HOLDER,16570.29,0.0018594431663918375,0.3115128566298183,A - High Value
SET/5 RED RETROSPOT LID GLASS BOWLS,16569.58,0.001859363493395883,0.3133722201232142,A - High Value
PACK OF 72 RETROSPOT CAKE CASES,16394.53,0.0018397201723509948,0.3152119402955652,A - High Value
LUNCH BAG PINK POLKADOT,16349.5,0.0018346671089596708,0.3170466074045249,A - High Value
HAND WARMER OWL DESIGN,16237.630000000001,0.001822113562399879,0.31886872096692476,A - High Value
ASSORTED COLOURS SILK FAN,16044.44,0.0018004346524160923,0.32066915561934084,A - High Value
MINI PAINT SET VINTAGE ,16039.240000000002,0.0017998511318823398,0.3224690067512232,A - High Value
LUNCH BAG SPACEBOY DESIGN ,15881.199999999999,0.001782116596275747,0.32425112334749895,A - High Value
RETROSPOT HEART HOT WATER BOTTLE,15871.73,0.0017810539156113935,0.32603217726311035,A - High Value
HOME BUILDING BLOCK WORD,15630.960000000001,0.0017540357927437694,0.3277862130558541,A - High Value
HAND OVER THE CHOCOLATE   SIGN ,15539.11,0.0017437288002389254,0.329529941856093,A - High Value
JUMBO BAG WOODLAND ANIMALS,15511.6,0.001740641752184399,0.33127058360827744,A - High Value
HOT WATER BOTTLE TEA AND SYMPATHY,15415.22,0.0017298264235222666,0.3330004100317997,A - High Value
LUNCH BAG SUKI DESIGN ,15384.05,0.001726328666784368,0.33472673869858405,A - High Value
JUMBO BAG SPACEBOY DESIGN,15331.02,0.001720377879494963,0.336447116578079,A - High Value
EDWARDIAN PARASOL BLACK,15218.67,0.0017077704695012859,0.3381548870475803,A - High Value
ANTIQUE SILVER T-LIGHT GLASS,15206.42,0.0017063958297823493,0.3398612828773626,A - High Value
6 RIBBONS RUSTIC CHARM,14988.589999999998,0.0016819519301924726,0.3415432348075551,A - High Value
IVORY KITCHEN SCALES,14788.33,0.0016594796567137569,0.34320271446426887,A - High Value
PINK REGENCY TEACUP AND SAUCER,14769.49,0.001657365516933776,0.34486007998120266,A - High Value
WOOD 2 DRAWER CABINET WHITE FINISH,14689.87,0.0016484309198381236,0.3465085109010408,A - High Value
JUMBO BAG SCANDINAVIAN BLUE PAISLEY,14632.970000000001,0.0016420458586130216,0.3481505567596538,A - High Value
LUNCH BAG WOODLAND,14537.11,0.0016312888820042644,0.34978184564165804,A - High Value
SET OF 4 PANTRY JELLY MOULDS,14180.17,0.0015912346859816298,0.3513730803276397,A - High Value
HOT WATER BOTTLE I AM SO POORLY,13847.28,0.0015538792724276015,0.3529269596000673,A - High Value
SMALL POPCORN HOLDER,13798.72,0.001548430088366249,0.35447538968843356,A - High Value
CHILDRENS CUTLERY POLKADOT PINK,13796.6,0.0015481921915332577,0.3560235818799668,A - High Value
WORLD WAR 2 GLIDERS ASSTD DESIGNS,13586.249999999998,0.0015245876637880868,0.3575481695437549,A - High Value
DOORMAT ENGLISH ROSE ,13470.95,0.0015116492181069929,0.3590598187618619,A - High Value
PAPER CHAIN KIT EMPIRE,13435.150000000001,0.0015076319036630799,0.360567450665525,A - High Value
RED WOOLLY HOTTIE WHITE HEART.,13430.51,0.0015071112238021927,0.3620745618893272,A - High Value
BREAD BIN DINER STYLE IVORY,13131.89,0.0014736014349965693,0.36354816332432377,A - High Value
LOVE HOT WATER BOTTLE,13115.400000000001,0.00147175100161165,0.36501991432593545,A - High Value
JUMBO BAG PEARS,13043.24,0.0014636535320509579,0.3664835678579864,A - High Value
BOX OF VINTAGE ALPHABET BLOCKS,13035.66,0.001462802938657526,0.36794637079664394,A - High Value
SET/4 WHITE RETRO STORAGE CUBES ,13007.150000000001,0.0014596036751157396,0.36940597447175966,A - High Value
VINTAGE CHRISTMAS BUNTING,12994.77,0.001458214447383459,0.37086418891914313,A - High Value
SET OF 10 LED DOLLY LIGHTS,12985.23,0.0014571439116349972,0.3723213328307781,A - High Value
HOT BATHS METAL SIGN,12832.140000000001,0.0014399648426903424,0.37376129767346844,A - High Value
HANGING HEART JAR T-LIGHT HOLDER,12674.720000000001,0.001422299880685851,0.3751835975541543,A - High Value
SET 7 BABUSHKA NESTING BOXES,12665.29,0.001421241688640988,0.3766048392427953,A - High Value
CLOTHES PEGS RETROSPOT PACK 24 ,12545.38,0.0014077859295636241,0.37801262517235895,A - High Value
GARDENERS KNEELING PAD KEEP CALM ,12493.48,0.001401961945774823,0.37941458711813375,A - High Value
MEMO BOARD RETROSPOT  DESIGN,12411.02,0.0013927086566953518,0.3808072957748291,A - High Value
3 HOOK PHOTO SHELF ANTIQUE WHITE,12294.380000000001,0.0013796198422613292,0.3821869156170904,A - High Value
BLACK HEART CARD HOLDER,12261.9,0.0013759750832351195,0.3835628907003255,A - High Value
HAND WARMER SCOTTY DOG DESIGN,12248.760000000002,0.0013745005717325216,0.384937391272058,A - High Value
RED RETROSPOT MINI CASES,12216.8,0.0013709141647596872,0.3863083054368177,A - High Value
GREY HEART HOT WATER BOTTLE,12191.15,0.0013680358375114646,0.38767634127432915,A - High Value
PLASTERS IN TIN SPACEBOY,12151.8,0.001363620158087778,0.3890399614324169,A - High Value
CHRISTMAS LIGHTS 10 REINDEER,12150.0,0.0013634181702107098,0.3904033796026276,A - High Value
ASSORTED COLOUR MINI CASES,12123.41,0.0013604343604044628,0.39176381396303206,A - High Value
DOORMAT SPOTTY HOME SWEET HOME,12095.67,0.0013573215027878663,0.39312113546581995,A - High Value
HAND WARMER BIRD DESIGN,12081.430000000002,0.0013557235542492822,0.39447685902006924,A - High Value
PAPER CHAIN KIT RETROSPOT,12043.210000000001,0.0013514346783261996,0.39582829369839545,A - High Value
LUNCH BAG ALPHABET DESIGN,12029.06,0.0013498468291814683,0.39717814052757694,A - High Value
RECYCLING BAG RETROSPOT ,11942.43,0.0013401256015201225,0.3985182661290971,A - High Value
DOTCOM POSTAGE,11906.36,0.0013360779888946493,0.3998543441179917,A - High Value
RED KITCHEN SCALES,11895.73,0.001334885138265074,0.4011892292562568,A - High Value
FELTCRAFT CUSHION OWL,11783.05,0.001322240697160601,0.40251146995341736,A - High Value
FELTCRAFT DOLL MOLLY,11762.99,0.001319989654486163,0.4038314596079035,A - High Value
PINK HAPPY BIRTHDAY BUNTING,11688.150000000001,0.0013115914474196141,0.4051430510553231,A - High Value
DOUGHNUT LIP GLOSS ,11640.7,0.0013062668225491203,0.40644931787787225,A - High Value
PLASTERS IN TIN WOODLAND ANIMALS,11637.429999999998,0.0013058998779057794,0.40775521775577805,A - High Value
PACK OF 60 PINK PAISLEY CAKE CASES,11629.7,0.0013050324521892587,0.4090602502079673,A - High Value
PINK BLUE FELT CRAFT TRINKET BOX,11629.39,0.0013049976653882079,0.41036524787335554,A - High Value
WOODEN ROUNDERS GARDEN SET ,11601.14,0.001301827577873109,0.41166707545122866,A - High Value
IVORY DINER WALL CLOCK,11587.2,0.0013002632939807027,0.41296733874520936,A - High Value
REGENCY SUGAR BOWL GREEN,11575.54,0.0012989548613992496,0.4142662936066086,A - High Value
FELTCRAFT 6 FLOWER FRIENDS,11566.390000000001,0.0012979280896908193,0.4155642216962994,A - High Value
DOORMAT WELCOME PUPPIES,11544.2,0.0012954380280285167,0.4168596597243279,A - High Value
LOVE BUILDING BLOCK WORD,11535.560000000001,0.001294468486218589,0.41815412821054654,A - High Value
ENAMEL FLOWER JUG CREAM,11444.93,0.0012842983966082026,0.41943842660715475,A - High Value
WOOD S/3 CABINET ANT WHITE FINISH,11394.9,0.0012786842557805775,0.42071711086293534,A - High Value
RED DINER WALL CLOCK,11074.390000000001,0.00124271806995883,0.4219598289328942,A - High Value
STRAWBERRY CERAMIC TRINKET BOX,10895.52,0.0012226460857526085,0.4231824750186468,A - High Value
JUMBO STORAGE BAG SKULLS,10890.79,0.001222115306497868,0.42440459032514466,A - High Value
PICNIC BASKET WICKER LARGE,10818.9,0.0012140481351187364,0.4256186384602634,A - High Value
FELTCRAFT CUSHION RABBIT,10694.81,0.0012001233153046257,0.426818761775568,A - High Value
METAL SIGN TAKE IT OR LEAVE IT ,10647.300000000001,0.0011947919575048965,0.42801355373307287,A - High Value
VINTAGE SNAP CARDS,10447.42,0.0011723623259113395,0.4291859160589842,A - High Value
TEA TIME PARTY BUNTING,10445.25,0.0011721188183039849,0.4303580348772882,A - High Value
RED RETROSPOT PICNIC BAG,10371.66,0.0011638608805965111,0.4315218957578847,A - High Value
LUNCH BAG VINTAGE DOILY ,10370.76,0.0011637598866579772,0.43268565564454264,A - High Value
LUNCH BAG DOLLY GIRL DESIGN,10360.69,0.0011626298767012674,0.43384828552124394,A - High Value
LUNCH BAG DOILEY PATTERN ,10331.3,0.0011593318635306918,0.4350076173847746,A - High Value
ALARM CLOCK BAKELIKE IVORY,10285.61,0.0011542047379177762,0.4361618221226924,A - High Value
PAPER BUNTING WHITE LACE,10264.050000000001,0.0011517853720124475,0.4373136074947048,A - High Value
RED RETROSPOT UMBRELLA,10247.470000000001,0.0011499248392336744,0.4384635323339385,A - High Value
WHITE SKULL HOT WATER BOTTLE ,10227.72,0.0011477085833602864,0.43961124091729875,A - High Value
BAKING SET SPACEBOY DESIGN,10210.890000000001,0.0011458199967096985,0.44075706091400846,A - High Value
REGENCY TEA PLATE ROSES ,10190.789999999999,0.0011435644654157694,0.4419006253794242,A - High Value
CLASSIC METAL BIRDCAGE PLANT HOLDER,10161.41,0.0011402675744000665,0.44304089295382426,A - High Value
SOLDIERS EGG CUP ,10150.220000000001,0.0011390118830976257,0.4441799048369219,A - High Value
RED RETROSPOT CHARLOTTE BAG,10125.85,0.001136277191673096,0.44531618202859496,A - High Value
BLUE HAPPY BIRTHDAY BUNTING,10107.52,0.0011342202817916176,0.4464504023103866,A - High Value
TRADITIONAL WOODEN SKIPPING ROPE,10019.47,0.0011243397081383622,0.44757474201852493,A - High Value
LUNCH BAG VINTAGE LEAF DESIGN,10006.45,0.0011228786624942354,0.44869762068101915,A - High Value
GARDENERS KNEELING PAD CUP OF TEA ,9963.39,0.0011180466636128135,0.44981566734463196,A - High Value
WOODEN UNION JACK BUNTING,9928.83,0.001114168496373103,0.45092983584100504,A - High Value
CHILDRENS CUTLERY POLKADOT BLUE,9831.4,0.0011032353414493475,0.4520330711824544,A - High Value
DOORMAT BLACK FLOCK ,9822.2,0.0011022029589665544,0.45313527414142096,A - High Value
JUMBO BAG VINTAGE CHRISTMAS ,9748.34,0.0010939147230775203,0.4542291888644985,A - High Value
ICE CREAM SUNDAE LIP GLOSS,9668.16,0.0010849172853090022,0.4553141061498075,A - High Value
LONDON BUS COFFEE MUG,9666.3,0.0010847085645026983,0.4563988147143102,A - High Value
SET/20 RED RETROSPOT PAPER NAPKINS ,9656.789999999999,0.0010836413952188544,0.4574824561095291,A - High Value
FELTCRAFT CUSHION BUTTERFLY,9655.48,0.0010834943929305435,0.45856595050245963,A - High Value
DOORMAT HOME SWEET HOME BLUE ,9635.89,0.0010812960915351174,0.45964724659399475,A - High Value
CHILDRENS CUTLERY RETROSPOT RED ,9603.68,0.0010776816306904684,0.4607249282246852,A - High Value
COLOUR GLASS T-LIGHT HOLDER HANGING,9597.710000000001,0.0010770117042315254,0.4618019399289167,A - High Value
BREAD BIN DINER STYLE RED ,9597.31,0.0010769668180366212,0.4628789067469533,A - High Value
PLASTERS IN TIN CIRCUS PARADE ,9596.96,0.00107692754261608,0.4639558342895694,A - High Value
NO SINGING METAL SIGN,9573.6,0.0010743061888336834,0.4650301404784031,A - High Value
WOODEN CROQUET GARDEN SET,9555.98,0.0010723289519481596,0.4661024694303512,A - High Value
HAND WARMER UNION JACK,9550.560000000001,0.0010717207440072098,0.4671741901743584,A - High Value
DOORMAT WELCOME TO OUR HOME,9468.08,0.0010624652106179932,0.4682366553849764,A - High Value
PLASTERS IN TIN STRONGMAN,9462.289999999999,0.0010618154829467568,0.46929847086792315,A - High Value
SET/3 RED GINGHAM ROSE STORAGE BOX,9424.32,0.0010575546608954894,0.4703560255288186,A - High Value
15CM CHRISTMAS GLASS BALL 20 LIGHTS,9374.7,0.0010519865284176414,0.47140801205723626,A - High Value
PHOTO FRAME CORNICE,9365.78,0.0010509855662712809,0.4724589976235075,A - High Value
ANTIQUE SILVER TEA GLASS ENGRAVED,9339.34,0.0010480185887881228,0.47350701621229563,A - High Value
KNITTED UNION FLAG HOT WATER BOTTLE,9329.17,0.001046877357282687,0.47455389356957833,A - High Value
TRADITIONAL MODELLING CLAY,9311.47,0.0010448911431581826,0.47559878471273653,A - High Value
TRADITIONAL KNITTING NANCY,9297.869999999999,0.0010433650125314445,0.47664214972526797,A - High Value
SET OF 4 KNICK KNACK TINS DOILY ,9270.5,0.0010402936746451345,0.4776824433999131,A - High Value
BLUE HARMONICA IN BOX ,9222.63,0.0010349219192699916,0.47871736531918313,A - High Value
FAWN BLUE HOT WATER BOTTLE,9218.550000000001,0.0010344640800819705,0.4797518293992651,A - High Value
RED RETROSPOT ROUND CAKE TINS,9188.25,0.001031063950817988,0.48078289335008306,A - High Value
REGENCY TEA PLATE GREEN ,9184.9,0.0010306880289356665,0.48181358137901875,A - High Value
PANTRY ROLLING PIN,9184.279999999999,0.0010306184553335652,0.48284419983435234,A - High Value
WOODEN SCHOOL COLOURING SET,9072.869999999999,0.001018116527897913,0.48386231636225024,A - High Value
EDWARDIAN PARASOL RED,9055.87,0.0010162088646144907,0.48487852522686475,A - High Value
REGENCY MILK JUG PINK ,9008.0,0.0010108371092393477,0.4858893623361041,A - High Value
REVOLVER WOODEN RULER ,8950.289999999999,0.0010043611534695648,0.48689372348957366,A - High Value
3 TIER CAKE TIN RED AND CREAM,8737.78,0.0009805142402719126,0.48787423772984556,A - High Value
STRAWBERRY LUNCH BOX WITH CUTLERY,8734.64,0.0009801618836419155,0.4888543996134875,A - High Value
LADIES & GENTLEMEN METAL SIGN,8699.13,0.0009761771116893079,0.48983057672517677,A - High Value
SET OF 20 KIDS COOKIE CUTTERS,8697.27,0.0009759683908830043,0.49080654511605976,A - High Value
PINK CREAM FELT CRAFT TRINKET BOX ,8648.49,0.0009704945194144545,0.4917770396354742,A - High Value
GINGERBREAD MAN COOKIE CUTTER,8625.130000000001,0.0009678731656320577,0.49274491280110627,A - High Value
60 TEATIME FAIRY CAKE CASES,8618.37,0.0009671145889381792,0.49371202739004444,A - High Value
SET OF 6 SOLDIER SKITTLES,8597.5,0.0009647726517190599,0.4946768000417635,A - High Value
AREA PATROLLED METAL SIGN,8552.220000000001,0.0009596915344559209,0.4956364915762194,A - High Value
VINTAGE DOILY JUMBO BAG RED ,8535.26,0.0009577883597919888,0.4965942799360114,A - High Value
VINTAGE HEADS AND TAILS CARD GAME ,8531.41,0.0009573563301660372,0.49755163626617743,A - High Value
JUMBO BAG PAISLEY PARK,8529.24,0.0009571128225586827,0.4985087490887361,A - High Value
HAND WARMER RED RETROSPOT,8526.12,0.0009567627102384312,0.4994655117989745,A - High Value
ENAMEL BREAD BIN CREAM,8519.0,0.0009559637359691389,0.5004214755349436,A - High Value
"RECORD FRAME 7"" SINGLE SIZE ",8450.82,0.0009483128840477424,0.5013697884189914,A - High Value
FAMILY ALBUM WHITE PICTURE FRAME,8416.64,0.0009444773586931908,0.5023142657776846,A - High Value
T-LIGHT GLASS FLUTED ANTIQUE,8378.890000000001,0.0009402412240491207,0.5032545070017337,A - High Value
SWEETHEART CAKESTAND 3 TIER,8376.6,0.0009399842505832949,0.504194491252317,A - High Value
POTTERING IN THE SHED METAL SIGN,8372.7,0.0009395466101829804,0.5051340378625,A - High Value
"SET 3 RETROSPOT TEA,COFFEE,SUGAR",8354.87,0.000937545808045132,0.5060715836705452,A - High Value
BOX OF 6 MINI VINTAGE CRACKERS,8350.41,0.0009370453269719517,0.5070086289975171,A - High Value
SET 2 PANTRY DESIGN TEA TOWELS,8323.17,0.0009339885770989855,0.5079426175746161,A - High Value
FELTCRAFT BUTTERFLY HEARTS,8314.55,0.000933021279598803,0.5088756388542149,A - High Value
SET OF 3 NOTEBOOKS IN PARCEL,8283.75,0.0009295650425911908,0.5098052038968062,A - High Value
MULTI COLOUR SILVER T-LIGHT HOLDER,8269.45,0.0009279603611233708,0.5107331642579296,A - High Value
BOX OF 6 MINI 50'S CRACKERS,8216.79,0.0009220510935642518,0.5116552153514938,A - High Value
LARGE WHITE HEART OF WICKER,8184.700000000001,0.0009184500985780739,0.5125736654500719,A - High Value
HANGING JAM JAR T-LIGHT HOLDER,8164.12,0.0009161407038502602,0.5134898061539221,A - High Value
3 HEARTS HANGING DECORATION RUSTIC,8161.21,0.0009158141567823331,0.5144056203107045,A - High Value
SET 6 PAPER TABLE LANTERN HEARTS ,8129.43,0.0009122479485972059,0.5153178682593017,A - High Value
VINTAGE RED KITCHEN CABINET,8125.0,0.0009117508339886435,0.5162296190932903,A - High Value
ICE CREAM PEN LIP GLOSS ,8077.31,0.0009063992774012074,0.5171360183706916,A - High Value
FELTCRAFT PRINCESS CHARLOTTE DOLL,8071.51,0.0009057484275750985,0.5180417667982666,A - High Value
DOORMAT MULTICOLOUR STRIPE,8053.22,0.0009036960063131106,0.5189454628045798,A - High Value
SET OF 6 RIBBONS VINTAGE CHRISTMAS,8051.83,0.0009035400267858189,0.5198490028313656,A - High Value
ALARM CLOCK BAKELIKE ORANGE,7995.63,0.000897233516401799,0.5207462363477674,A - High Value
CHILDRENS CUTLERY SPACEBOY ,7974.38,0.000894848937297521,0.5216410852850649,A - High Value
RED METAL BOX TOP SECRET,7962.03,0.0008934630760298582,0.5225345483610948,A - High Value
RECIPE BOX RETROSPOT ,7952.900000000001,0.0008924385486311733,0.523426986909726,A - High Value
SET OF 72 RETROSPOT PAPER  DOILIES,7947.37,0.0008918179969866246,0.5243188049067127,A - High Value
SET/10 RED POLKADOT PARTY CANDLES,7799.18,0.0008751887839295444,0.5251939936906422,A - High Value
TRAVEL SEWING KIT,7787.36,0.0008738623968701295,0.5260678560875124,A - High Value
GRAND CHOCOLATECANDLE,7785.049999999999,0.0008736031790945586,0.526941459266607,A - High Value
PICNIC BASKET WICKER SMALL,7746.700000000001,0.0008692997151581323,0.5278107589817651,A - High Value
SET OF 3 HEART COOKIE CUTTERS,7741.84,0.0008687543478900479,0.5286795133296551,A - High Value
FELTCRAFT CHRISTMAS FAIRY,7722.68,0.0008666042991541436,0.5295461176288093,A - High Value
JUMBO BAG TOYS ,7689.28,0.0008628563018796549,0.530408973930689,A - High Value
ZINC FOLKART SLEIGH BELLS,7665.110000000001,0.0008601440535525774,0.5312691179842416,A - High Value
HAND WARMER RED LOVE HEART,7660.200000000001,0.0008595930755101301,0.5321287110597517,A - High Value
FAMILY PHOTO FRAME CORNICE,7646.839999999999,0.0008580938766003344,0.532986804936352,A - High Value
BLUE DINER WALL CLOCK,7528.93,0.0008448625484974914,0.5338316674848494,A - High Value
SET 6 SCHOOL MILK BOTTLES IN CRATE,7510.29,0.0008427708518149623,0.5346744383366644,A - High Value
